occurrenceID,type,language,license,rightsHolder,accessRights,datasetID,institutionCode,datasetName,ownerInstitutionCode,basisOfRecord,recordedBy,individualCount,eventID,eventDate,continent,countryCode,decimalLatitude,decimalLongitude,geodeticDatum,identifiedBy,scientificName,taxonRank,scientificNameAuthorship,vernacularName,verbatimDatasetName,gbifapi_acceptedScientificName,gbifapi_acceptedKey
﻿INBO:NBN:BFN00179000029DL,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/1rcpsq,INBO,invasive-other-occurrences,INBO,HumanObservation,Anne Ronse,0,BFN0017900000GGA,2009-06-04,Europe,BE,51.33847,4.4543,WGS84,Anne Ronse,Lagarosiphon major,species,(Ridley) Moss,,Luronium natans standplaatsonderzoek,Lagarosiphon major (Ridl.) Moss,2865565
INBO:NBN:BFN001790000A584,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/1rcpsq,INBO,invasive-other-occurrences,INBO,HumanObservation,An Leyssen | Toon Westra,0,BFN00179000031D8,2015-07-06,Europe,BE,51.24824,5.02789,WGS84,An Leyssen,Lagarosiphon major,species,(Ridley) Moss,,LSVI 3260,Lagarosiphon major (Ridl.) Moss,2865565
INBO:NBN:BFN001790000AACI,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/1rcpsq,INBO,invasive-other-occurrences,INBO,HumanObservation,GJ Spek,1,BFN00179000032JR,2005-10-31,Europe,BE,51.24325,4.9420199999999985,WGS84,GJ Spek,Muntiacus reevesii,species,,Chinese muntjak,INBO - Muntjak - Losse waarnemingen,"Muntiacus reevesi (Ogilby, 1839)",2440946
INBO:NBN:BFN0017900009DOC,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/1rcpsq,INBO,invasive-other-occurrences,INBO,HumanObservation,Wouter Huygens,1,BFN0017900002LK3,2014-03-08,Europe,BE,51.26218,4.492380000000002,WGS84,Wouter Huygens,Muntiacus reevesii,species,,Chinese muntjak,INBO - Muntjak - Losse waarnemingen,"Muntiacus reevesi (Ogilby, 1839)",2440946
INBO:NBN:BFN001790000A4J0,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/1rcpsq,INBO,invasive-other-occurrences,INBO,HumanObservation,Bert Goyens,0,BFN001790000310S,2015-02-20,Europe,BE,51.25701,4.49054,WGS84,Bert Goyens,Muntiacus reevesii,species,,Chinese muntjak,INBO - Muntjak - Bestrijding,"Muntiacus reevesi (Ogilby, 1839)",2440946
INBO:NBN:BFN0017900009DO8,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/1rcpsq,INBO,invasive-other-occurrences,INBO,HumanObservation,Claudia Schneider,1,BFN0017900002LJZ,2014-05-24,Europe,BE,51.27518,4.54044,WGS84,Claudia Schneider,Muntiacus reevesii,species,,Chinese muntjak,INBO - Muntjak - Losse waarnemingen,"Muntiacus reevesi (Ogilby, 1839)",2440946
INBO:NBN:BFN001790000AACF,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/1rcpsq,INBO,invasive-other-occurrences,INBO,HumanObservation,GJ Spek,1,BFN00179000032JO,2005-02-28,Europe,BE,51.30803,5.9519199999999985,WGS84,GJ Spek,Muntiacus reevesii,species,,Chinese muntjak,INBO - Muntjak - Losse waarnemingen,"Muntiacus reevesi (Ogilby, 1839)",2440946
INBO:NBN:BFN001790000A4JO,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/1rcpsq,INBO,invasive-other-occurrences,INBO,HumanObservation,Patrick Engels,0,BFN001790000311B,2015-02-24,Europe,BE,51.25803,4.49496,WGS84,Patrick Engels,Muntiacus reevesii,species,,Chinese muntjak,INBO - Muntjak - Bestrijding,"Muntiacus reevesi (Ogilby, 1839)",2440946
INBO:NBN:BFN001790000A4K8,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/1rcpsq,INBO,invasive-other-occurrences,INBO,HumanObservation,JWV,0,BFN001790000311U,2015-02-20,Europe,BE,51.26106,4.4958,WGS84,JWV,Muntiacus reevesii,species,,Chinese muntjak,INBO - Muntjak - Bestrijding,"Muntiacus reevesi (Ogilby, 1839)",2440946
INBO:NBN:BFN001790000A51G,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/1rcpsq,INBO,invasive-other-occurrences,INBO,HumanObservation,Jos Keyers,1,BFN00179000031CR,2016-03-08,Europe,BE,51.04185,5.6832699999999985,WGS84,Jos Keyers,Muntiacus reevesii,species,,Chinese muntjak,INBO - Muntjak - Losse waarnemingen,"Muntiacus reevesi (Ogilby, 1839)",2440946
